achievement_id,condition_type,condition_param,threshold,achievement_point_reward,achievement_point_reward_vip,name_key,desc_key
zone_clear_25,ZoneClearSpecific,25,1,40,40,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_26,ZoneClearSpecific,26,1,40,40,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_27,ZoneClearSpecific,27,1,40,40,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_28,ZoneClearSpecific,28,1,40,40,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_29,ZoneClearSpecific,29,1,40,40,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_30,ZoneClearSpecific,30,1,50,50,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_31,ZoneClearSpecific,31,1,50,50,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_32,ZoneClearSpecific,32,1,50,50,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_33,ZoneClearSpecific,33,1,50,50,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_34,ZoneClearSpecific,34,1,50,50,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_35,ZoneClearSpecific,35,1,50,50,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_36,ZoneClearSpecific,36,1,50,50,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_37,ZoneClearSpecific,37,1,50,50,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_38,ZoneClearSpecific,38,1,50,50,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_39,ZoneClearSpecific,39,1,50,50,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_40,ZoneClearSpecific,40,1,60,60,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_41,ZoneClearSpecific,41,1,60,60,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_42,ZoneClearSpecific,42,1,60,60,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_43,ZoneClearSpecific,43,1,60,60,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_44,ZoneClearSpecific,44,1,60,60,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_45,ZoneClearSpecific,45,1,60,60,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_46,ZoneClearSpecific,46,1,60,60,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_47,ZoneClearSpecific,47,1,60,60,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_48,ZoneClearSpecific,48,1,60,60,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_49,ZoneClearSpecific,49,1,60,60,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_50,ZoneClearSpecific,50,1,70,70,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_51,ZoneClearSpecific,51,1,70,70,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_52,ZoneClearSpecific,52,1,70,70,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_53,ZoneClearSpecific,53,1,70,70,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_54,ZoneClearSpecific,54,1,70,70,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_55,ZoneClearSpecific,55,1,70,70,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_56,ZoneClearSpecific,56,1,70,70,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_57,ZoneClearSpecific,57,1,70,70,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_58,ZoneClearSpecific,58,1,70,70,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_59,ZoneClearSpecific,59,1,70,70,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_60,ZoneClearSpecific,60,1,80,80,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_61,ZoneClearSpecific,61,1,80,80,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_62,ZoneClearSpecific,62,1,80,80,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_63,ZoneClearSpecific,63,1,80,80,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_64,ZoneClearSpecific,64,1,80,80,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_65,ZoneClearSpecific,65,1,80,80,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_66,ZoneClearSpecific,66,1,80,80,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_67,ZoneClearSpecific,67,1,80,80,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_68,ZoneClearSpecific,68,1,80,80,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_69,ZoneClearSpecific,69,1,80,80,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_70,ZoneClearSpecific,70,1,90,90,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_71,ZoneClearSpecific,71,1,90,90,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_72,ZoneClearSpecific,72,1,90,90,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_73,ZoneClearSpecific,73,1,90,90,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_74,ZoneClearSpecific,74,1,90,90,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_75,ZoneClearSpecific,75,1,90,90,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_76,ZoneClearSpecific,76,1,90,90,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_77,ZoneClearSpecific,77,1,90,90,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_78,ZoneClearSpecific,78,1,90,90,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_79,ZoneClearSpecific,79,1,90,90,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_80,ZoneClearSpecific,80,1,100,100,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_81,ZoneClearSpecific,81,1,100,100,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_82,ZoneClearSpecific,82,1,100,100,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_83,ZoneClearSpecific,83,1,100,100,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_84,ZoneClearSpecific,84,1,100,100,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_85,ZoneClearSpecific,85,1,100,100,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_86,ZoneClearSpecific,86,1,100,100,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_87,ZoneClearSpecific,87,1,100,100,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_88,ZoneClearSpecific,88,1,100,100,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_89,ZoneClearSpecific,89,1,100,100,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_90,ZoneClearSpecific,90,1,110,110,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_91,ZoneClearSpecific,91,1,110,110,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_92,ZoneClearSpecific,92,1,110,110,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_93,ZoneClearSpecific,93,1,110,110,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_94,ZoneClearSpecific,94,1,110,110,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_95,ZoneClearSpecific,95,1,110,110,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_96,ZoneClearSpecific,96,1,110,110,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_97,ZoneClearSpecific,97,1,110,110,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_98,ZoneClearSpecific,98,1,110,110,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_99,ZoneClearSpecific,99,1,110,110,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
zone_clear_100,ZoneClearSpecific,100,1,120,120,UIAchievement_Name_zone_clear,UIAchievement_Desc_zone_clear
commander_level_5,CommanderLevel,,5,20,20,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_10,CommanderLevel,,10,40,40,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_15,CommanderLevel,,15,60,60,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_20,CommanderLevel,,20,80,80,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_25,CommanderLevel,,25,100,100,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_30,CommanderLevel,,30,120,120,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_35,CommanderLevel,,35,140,140,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_40,CommanderLevel,,40,160,160,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_45,CommanderLevel,,45,180,180,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_50,CommanderLevel,,50,200,200,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_55,CommanderLevel,,55,220,220,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_60,CommanderLevel,,60,240,240,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_65,CommanderLevel,,65,260,260,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_70,CommanderLevel,,70,280,280,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_75,CommanderLevel,,75,300,300,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_80,CommanderLevel,,80,300,300,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_85,CommanderLevel,,85,300,300,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_90,CommanderLevel,,90,300,300,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_95,CommanderLevel,,95,300,300,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
commander_level_100,CommanderLevel,,100,300,300,UIAchievement_Name_commander_level,UIAchievement_Desc_commander_level
command_power_500,CommandPower,,500,50,50,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_1000,CommandPower,,1000,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_1500,CommandPower,,1500,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_2000,CommandPower,,2000,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_2500,CommandPower,,2500,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_3000,CommandPower,,3000,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_3500,CommandPower,,3500,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_4000,CommandPower,,4000,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_4500,CommandPower,,4500,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_5000,CommandPower,,5000,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_5500,CommandPower,,5500,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_6000,CommandPower,,6000,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_6500,CommandPower,,6500,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_7000,CommandPower,,7000,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_7500,CommandPower,,7500,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_8000,CommandPower,,8000,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_8500,CommandPower,,8500,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_9000,CommandPower,,9000,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_9500,CommandPower,,9500,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
command_power_10000,CommandPower,,10000,100,100,UIAchievement_Name_command_power,UIAchievement_Desc_command_power
tactic_power_1500,TacticPower,,1500,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_2000,TacticPower,,2000,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_2500,TacticPower,,2500,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_3000,TacticPower,,3000,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_3500,TacticPower,,3500,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_4000,TacticPower,,4000,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_4500,TacticPower,,4500,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_5000,TacticPower,,5000,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_5500,TacticPower,,5500,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_6000,TacticPower,,6000,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_6500,TacticPower,,6500,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_7000,TacticPower,,7000,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_7500,TacticPower,,7500,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_8000,TacticPower,,8000,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_8500,TacticPower,,8500,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_9000,TacticPower,,9000,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_9500,TacticPower,,9500,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
tactic_power_10000,TacticPower,,10000,100,100,UIAchievement_Name_tactic_power,UIAchievement_Desc_tactic_power
exploration_point_total_500,ExplorationPointTotal,,500,50,50,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_1000,ExplorationPointTotal,,1000,100,100,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_1500,ExplorationPointTotal,,1500,150,150,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_2000,ExplorationPointTotal,,2000,200,200,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_2500,ExplorationPointTotal,,2500,250,250,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_3000,ExplorationPointTotal,,3000,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_3500,ExplorationPointTotal,,3500,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_4000,ExplorationPointTotal,,4000,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_4500,ExplorationPointTotal,,4500,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_5000,ExplorationPointTotal,,5000,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_5500,ExplorationPointTotal,,5500,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_6000,ExplorationPointTotal,,6000,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_6500,ExplorationPointTotal,,6500,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_7000,ExplorationPointTotal,,7000,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_7500,ExplorationPointTotal,,7500,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_8000,ExplorationPointTotal,,8000,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_8500,ExplorationPointTotal,,8500,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_9000,ExplorationPointTotal,,9000,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_9500,ExplorationPointTotal,,9500,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
exploration_point_total_10000,ExplorationPointTotal,,10000,300,300,UIAchievement_Name_exploration_point_total,UIAchievement_Desc_exploration_point_total
hull_tier4_count_1,HullTierCount,4,1,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier4_count_2,HullTierCount,4,2,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier4_count_3,HullTierCount,4,3,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier5_count_1,HullTierCount,5,1,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier5_count_2,HullTierCount,5,2,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier5_count_3,HullTierCount,5,3,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier6_count_1,HullTierCount,6,1,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier6_count_2,HullTierCount,6,2,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier6_count_3,HullTierCount,6,3,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier7_count_1,HullTierCount,7,1,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier7_count_2,HullTierCount,7,2,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier7_count_3,HullTierCount,7,3,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier8_count_1,HullTierCount,8,1,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier8_count_2,HullTierCount,8,2,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier8_count_3,HullTierCount,8,3,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier9_count_1,HullTierCount,9,1,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier9_count_2,HullTierCount,9,2,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier9_count_3,HullTierCount,9,3,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier10_count_1,HullTierCount,10,1,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier10_count_2,HullTierCount,10,2,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier10_count_3,HullTierCount,10,3,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier11_count_1,HullTierCount,11,1,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier11_count_2,HullTierCount,11,2,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier11_count_3,HullTierCount,11,3,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier12_count_1,HullTierCount,12,1,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier12_count_2,HullTierCount,12,2,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier12_count_3,HullTierCount,12,3,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier13_count_1,HullTierCount,13,1,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier13_count_2,HullTierCount,13,2,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier13_count_3,HullTierCount,13,3,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier14_count_1,HullTierCount,14,1,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier14_count_2,HullTierCount,14,2,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
hull_tier14_count_3,HullTierCount,14,3,100,100,UIAchievement_Name_hull_tier_count,UIAchievement_Desc_hull_tier_count
module_beam_tier2_count_1,ModuleTierCount,beam_2,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier2_count_2,ModuleTierCount,beam_2,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier2_count_3,ModuleTierCount,beam_2,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier3_count_1,ModuleTierCount,beam_3,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier3_count_2,ModuleTierCount,beam_3,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier3_count_3,ModuleTierCount,beam_3,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier4_count_1,ModuleTierCount,beam_4,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier4_count_2,ModuleTierCount,beam_4,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
