zone,stage,mineral_reward,exp_reward,module_point_reward,spawn_term,fleet_pos_x,fleet_pos_y,fleet_pos_z,fleet_rot_y,playerFireDelay,enemyFireDelay
4,6,40,45,5,20,1222,0,-358,90,0,0
4,7,40,46,5,20,3667,0,2741,90,0,0
4,8,40,47,5,20,6111,0,4841,90,0,0
4,9,40,48,5,20,8556,0,2531,90,0,0
4,10,40,49,5,20,11000,0,716,90,0,0
,,,,,,,,,,,
5,1,50,50,5,20,-11000,0,4389,90,0,0
5,2,50,51,5,20,-8556,0,266,90,0,0
5,3,50,52,5,20,-6111,0,-2380,90,0,0
5,4,50,53,5,20,-3667,0,4489,90,0,0
5,5,50,54,5,20,-1222,0,78,90,0,0
5,6,50,55,5,20,1222,0,4344,90,0,0
5,7,50,56,5,20,3667,0,-2156,90,0,0
5,8,50,57,5,20,6111,0,3359,90,0,0
5,9,50,58,5,20,8556,0,1493,90,0,0
5,10,50,59,5,20,11000,0,3245,90,0,0
,,,,,,,,,,,
6,1,60,60,5,20,-11000,0,-3186,90,0,0
6,2,60,61,5,20,-8556,0,3685,90,0,0
6,3,60,62,5,20,-6111,0,-3392,90,0,0
6,4,60,63,5,20,-3667,0,1239,90,0,0
6,5,60,64,5,20,-1222,0,-4025,90,0,0
6,6,60,65,5,20,1222,0,3976,90,0,0
6,7,60,66,5,20,3667,0,2400,90,0,0
6,8,60,67,5,20,6111,0,-472,90,0,0
6,9,60,68,5,20,8556,0,-2924,90,0,0
6,10,60,69,5,20,11000,0,244,90,0,0
,,,,,,,,,,,
7,1,70,70,5,20,-11000,0,-760,90,0,0
7,2,70,71,5,20,-8556,0,-2896,90,0,0
7,3,70,72,5,20,-6111,0,-4404,90,0,0
7,4,70,73,5,20,-3667,0,4682,90,0,0
7,5,70,74,5,20,-1222,0,-2539,90,0,0
7,6,70,75,5,20,1222,0,457,90,0,0
7,7,70,76,5,20,3667,0,-4967,90,0,0
7,8,70,77,5,20,6111,0,4674,90,0,0
7,9,70,78,5,20,8556,0,1482,90,0,0
7,10,70,79,5,20,11000,0,4625,90,0,0
,,,,,,,,,,,
8,1,80,80,5,20,-11000,0,1665,90,0,0
8,2,80,81,5,20,-8556,0,4584,90,0,0
8,3,80,82,5,20,-6111,0,-1875,90,0,0
8,4,80,83,5,20,-3667,0,1771,90,0,0
8,5,80,84,5,20,-1222,0,-1486,90,0,0
8,6,80,85,5,20,1222,0,2897,90,0,0
8,7,80,86,5,20,3667,0,4509,90,0,0
8,8,80,87,5,20,6111,0,-2254,90,0,0
8,9,80,88,5,20,8556,0,1763,90,0,0
8,10,80,89,5,20,11000,0,-4611,90,0,0
,,,,,,,,,,,
9,1,90,90,5,20,-11000,0,4090,90,0,0
9,2,90,91,5,20,-8556,0,1568,90,0,0
9,3,90,92,5,20,-6111,0,-4331,90,0,0
9,4,90,93,5,20,-3667,0,4581,90,0,0
9,5,90,94,5,20,-1222,0,-1774,90,0,0
9,6,90,95,5,20,1222,0,-3503,90,0,0
9,7,90,96,5,20,3667,0,-1506,90,0,0
9,8,90,97,5,20,6111,0,-3897,90,0,0
9,9,90,98,5,20,8556,0,-1614,90,0,0
9,10,90,99,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
10,1,100,100,5,20,-11000,0,4090,90,0,0
10,2,100,102,5,20,-8556,0,1568,90,0,0
10,3,100,104,5,20,-6111,0,-4331,90,0,0
10,4,100,106,5,20,-3667,0,4581,90,0,0
10,5,100,108,5,20,-1222,0,-1774,90,0,0
10,6,100,110,5,20,1222,0,-3503,90,0,0
10,7,100,112,5,20,3667,0,-1506,90,0,0
10,8,100,114,5,20,6111,0,-3897,90,0,0
10,9,100,116,5,20,8556,0,-1614,90,0,0
10,10,100,118,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
11,1,120,120,5,20,-11000,0,4090,90,0,0
11,2,122,122,5,20,-8556,0,1568,90,0,0
11,3,124,124,5,20,-6111,0,-4331,90,0,0
11,4,126,126,5,20,-3667,0,4581,90,0,0
11,5,128,128,5,20,-1222,0,-1774,90,0,0
11,6,130,130,5,20,1222,0,-3503,90,0,0
11,7,132,132,5,20,3667,0,-1506,90,0,0
11,8,134,134,5,20,6111,0,-3897,90,0,0
11,9,136,136,5,20,8556,0,-1614,90,0,0
11,10,138,138,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
12,1,140,140,5,20,-11000,0,4090,90,0,0
12,2,142,142,5,20,-8556,0,1568,90,0,0
12,3,144,144,5,20,-6111,0,-4331,90,0,0
12,4,146,146,5,20,-3667,0,4581,90,0,0
12,5,148,148,5,20,-1222,0,-1774,90,0,0
12,6,150,150,5,20,1222,0,-3503,90,0,0
12,7,152,152,5,20,3667,0,-1506,90,0,0
12,8,154,154,5,20,6111,0,-3897,90,0,0
12,9,156,156,5,20,8556,0,-1614,90,0,0
12,10,158,158,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
13,1,160,160,5,20,-11000,0,4090,90,0,0
13,2,162,162,5,20,-8556,0,1568,90,0,0
13,3,164,164,5,20,-6111,0,-4331,90,0,0
13,4,166,166,5,20,-3667,0,4581,90,0,0
13,5,168,168,5,20,-1222,0,-1774,90,0,0
13,6,170,170,5,20,1222,0,-3503,90,0,0
13,7,172,172,5,20,3667,0,-1506,90,0,0
13,8,174,174,5,20,6111,0,-3897,90,0,0
13,9,176,176,5,20,8556,0,-1614,90,0,0
13,10,178,178,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
14,1,180,180,5,20,-11000,0,4090,90,0,0
14,2,182,182,5,20,-8556,0,1568,90,0,0
14,3,184,184,5,20,-6111,0,-4331,90,0,0
14,4,186,186,5,20,-3667,0,4581,90,0,0
14,5,188,188,5,20,-1222,0,-1774,90,0,0
14,6,190,190,5,20,1222,0,-3503,90,0,0
14,7,192,192,5,20,3667,0,-1506,90,0,0
14,8,194,194,5,20,6111,0,-3897,90,0,0
14,9,196,196,5,20,8556,0,-1614,90,0,0
14,10,198,198,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
15,1,200,200,5,20,-11000,0,4090,90,0,0
15,2,202,202,5,20,-8556,0,1568,90,0,0
15,3,204,204,5,20,-6111,0,-4331,90,0,0
15,4,206,206,5,20,-3667,0,4581,90,0,0
15,5,208,208,5,20,-1222,0,-1774,90,0,0
15,6,210,210,5,20,1222,0,-3503,90,0,0
15,7,212,212,5,20,3667,0,-1506,90,0,0
15,8,214,214,5,20,6111,0,-3897,90,0,0
15,9,216,216,5,20,8556,0,-1614,90,0,0
15,10,218,218,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
16,1,220,220,5,20,-11000,0,4090,90,0,0
16,2,222,222,5,20,-8556,0,1568,90,0,0
16,3,224,224,5,20,-6111,0,-4331,90,0,0
16,4,226,226,5,20,-3667,0,4581,90,0,0
16,5,228,228,5,20,-1222,0,-1774,90,0,0
16,6,230,230,5,20,1222,0,-3503,90,0,0
16,7,232,232,5,20,3667,0,-1506,90,0,0
16,8,234,234,5,20,6111,0,-3897,90,0,0
16,9,236,236,5,20,8556,0,-1614,90,0,0
16,10,238,238,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
17,1,240,240,5,20,-11000,0,4090,90,0,0
17,2,242,242,5,20,-8556,0,1568,90,0,0
17,3,244,244,5,20,-6111,0,-4331,90,0,0
17,4,246,246,5,20,-3667,0,4581,90,0,0
17,5,248,248,5,20,-1222,0,-1774,90,0,0
17,6,250,250,5,20,1222,0,-3503,90,0,0
17,7,252,252,5,20,3667,0,-1506,90,0,0
17,8,254,254,5,20,6111,0,-3897,90,0,0
17,9,256,256,5,20,8556,0,-1614,90,0,0
17,10,258,258,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
18,1,260,260,5,20,-11000,0,4090,90,0,0
18,2,262,262,5,20,-8556,0,1568,90,0,0
18,3,264,264,5,20,-6111,0,-4331,90,0,0
18,4,266,266,5,20,-3667,0,4581,90,0,0
18,5,268,268,5,20,-1222,0,-1774,90,0,0
18,6,270,270,5,20,1222,0,-3503,90,0,0
18,7,272,272,5,20,3667,0,-1506,90,0,0
18,8,274,274,5,20,6111,0,-3897,90,0,0
18,9,276,276,5,20,8556,0,-1614,90,0,0
18,10,278,278,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
19,1,280,280,5,20,-11000,0,4090,90,0,0
19,2,282,282,5,20,-8556,0,1568,90,0,0
19,3,284,284,5,20,-6111,0,-4331,90,0,0
19,4,286,286,5,20,-3667,0,4581,90,0,0
19,5,288,288,5,20,-1222,0,-1774,90,0,0
19,6,290,290,5,20,1222,0,-3503,90,0,0
19,7,292,292,5,20,3667,0,-1506,90,0,0
19,8,294,294,5,20,6111,0,-3897,90,0,0
19,9,296,296,5,20,8556,0,-1614,90,0,0
19,10,298,298,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
20,1,300,300,5,20,-11000,0,4090,90,0,0
20,2,302,302,5,20,-8556,0,1568,90,0,0
20,3,304,304,5,20,-6111,0,-4331,90,0,0
20,4,306,306,5,20,-3667,0,4581,90,0,0
20,5,308,308,5,20,-1222,0,-1774,90,0,0
20,6,310,310,5,20,1222,0,-3503,90,0,0
20,7,312,312,5,20,3667,0,-1506,90,0,0
20,8,314,314,5,20,6111,0,-3897,90,0,0
20,9,316,316,5,20,8556,0,-1614,90,0,0
20,10,318,318,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
21,1,330,330,5,20,-11000,0,4090,90,0,0
21,2,333,333,5,20,-8556,0,1568,90,0,0
21,3,336,336,5,20,-6111,0,-4331,90,0,0
21,4,339,339,5,20,-3667,0,4581,90,0,0
21,5,342,342,5,20,-1222,0,-1774,90,0,0
21,6,345,345,5,20,1222,0,-3503,90,0,0
21,7,348,348,5,20,3667,0,-1506,90,0,0
21,8,351,351,5,20,6111,0,-3897,90,0,0
21,9,354,354,5,20,8556,0,-1614,90,0,0
21,10,357,357,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
22,1,360,360,5,20,-11000,0,4090,90,0,0
22,2,363,363,5,20,-8556,0,1568,90,0,0
22,3,366,366,5,20,-6111,0,-4331,90,0,0
22,4,369,369,5,20,-3667,0,4581,90,0,0
22,5,372,372,5,20,-1222,0,-1774,90,0,0
22,6,375,375,5,20,1222,0,-3503,90,0,0
22,7,378,378,5,20,3667,0,-1506,90,0,0
22,8,381,381,5,20,6111,0,-3897,90,0,0
22,9,384,384,5,20,8556,0,-1614,90,0,0
22,10,387,387,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
23,1,390,390,5,20,-11000,0,4090,90,0,0
23,2,393,393,5,20,-8556,0,1568,90,0,0
23,3,396,396,5,20,-6111,0,-4331,90,0,0
23,4,399,399,5,20,-3667,0,4581,90,0,0
23,5,402,402,5,20,-1222,0,-1774,90,0,0
23,6,405,405,5,20,1222,0,-3503,90,0,0
23,7,408,408,5,20,3667,0,-1506,90,0,0
23,8,411,411,5,20,6111,0,-3897,90,0,0
23,9,414,414,5,20,8556,0,-1614,90,0,0
23,10,417,417,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
24,1,420,420,5,20,-11000,0,4090,90,0,0
24,2,423,423,5,20,-8556,0,1568,90,0,0
24,3,426,426,5,20,-6111,0,-4331,90,0,0
24,4,429,429,5,20,-3667,0,4581,90,0,0
24,5,432,432,5,20,-1222,0,-1774,90,0,0
24,6,435,435,5,20,1222,0,-3503,90,0,0
24,7,438,438,5,20,3667,0,-1506,90,0,0
24,8,441,441,5,20,6111,0,-3897,90,0,0
24,9,444,444,5,20,8556,0,-1614,90,0,0
24,10,447,447,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
25,1,450,450,5,20,-11000,0,4090,90,0,0
25,2,453,453,5,20,-8556,0,1568,90,0,0
25,3,456,456,5,20,-6111,0,-4331,90,0,0
25,4,459,459,5,20,-3667,0,4581,90,0,0
25,5,462,462,5,20,-1222,0,-1774,90,0,0
25,6,465,465,5,20,1222,0,-3503,90,0,0
25,7,468,468,5,20,3667,0,-1506,90,0,0
25,8,471,471,5,20,6111,0,-3897,90,0,0
25,9,474,474,5,20,8556,0,-1614,90,0,0
25,10,477,477,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
26,1,480,480,5,20,-11000,0,4090,90,0,0
26,2,483,483,5,20,-8556,0,1568,90,0,0
26,3,486,486,5,20,-6111,0,-4331,90,0,0
26,4,489,489,5,20,-3667,0,4581,90,0,0
26,5,492,492,5,20,-1222,0,-1774,90,0,0
26,6,495,495,5,20,1222,0,-3503,90,0,0
26,7,498,498,5,20,3667,0,-1506,90,0,0
26,8,501,501,5,20,6111,0,-3897,90,0,0
26,9,504,504,5,20,8556,0,-1614,90,0,0
26,10,507,507,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
27,1,510,510,5,20,-11000,0,4090,90,0,0
27,2,513,513,5,20,-8556,0,1568,90,0,0
27,3,516,516,5,20,-6111,0,-4331,90,0,0
27,4,519,519,5,20,-3667,0,4581,90,0,0
27,5,522,522,5,20,-1222,0,-1774,90,0,0
27,6,525,525,5,20,1222,0,-3503,90,0,0
27,7,528,528,5,20,3667,0,-1506,90,0,0
27,8,531,531,5,20,6111,0,-3897,90,0,0
27,9,534,534,5,20,8556,0,-1614,90,0,0
27,10,537,537,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
28,1,540,540,5,20,-11000,0,4090,90,0,0
28,2,543,543,5,20,-8556,0,1568,90,0,0
28,3,546,546,5,20,-6111,0,-4331,90,0,0
28,4,549,549,5,20,-3667,0,4581,90,0,0
28,5,552,552,5,20,-1222,0,-1774,90,0,0
28,6,555,555,5,20,1222,0,-3503,90,0,0
28,7,558,558,5,20,3667,0,-1506,90,0,0
28,8,561,561,5,20,6111,0,-3897,90,0,0
28,9,564,564,5,20,8556,0,-1614,90,0,0
28,10,567,567,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
29,1,570,570,5,20,-11000,0,4090,90,0,0
29,2,573,573,5,20,-8556,0,1568,90,0,0
29,3,576,576,5,20,-6111,0,-4331,90,0,0
29,4,579,579,5,20,-3667,0,4581,90,0,0
29,5,582,582,5,20,-1222,0,-1774,90,0,0
29,6,585,585,5,20,1222,0,-3503,90,0,0
29,7,588,588,5,20,3667,0,-1506,90,0,0
29,8,591,591,5,20,6111,0,-3897,90,0,0
29,9,594,594,5,20,8556,0,-1614,90,0,0
29,10,597,597,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
30,1,600,600,5,20,-11000,0,4090,90,0,0
30,2,603,603,5,20,-8556,0,1568,90,0,0
30,3,606,606,5,20,-6111,0,-4331,90,0,0
30,4,609,609,5,20,-3667,0,4581,90,0,0
30,5,612,612,5,20,-1222,0,-1774,90,0,0
30,6,615,615,5,20,1222,0,-3503,90,0,0
30,7,618,618,5,20,3667,0,-1506,90,0,0
30,8,621,621,5,20,6111,0,-3897,90,0,0
30,9,624,624,5,20,8556,0,-1614,90,0,0
30,10,627,627,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
31,1,640,640,5,20,-11000,0,4090,90,0,0
31,2,644,644,5,20,-8556,0,1568,90,0,0
31,3,648,648,5,20,-6111,0,-4331,90,0,0
31,4,652,652,5,20,-3667,0,4581,90,0,0
31,5,656,656,5,20,-1222,0,-1774,90,0,0
31,6,660,660,5,20,1222,0,-3503,90,0,0
31,7,664,664,5,20,3667,0,-1506,90,0,0
31,8,668,668,5,20,6111,0,-3897,90,0,0
31,9,672,672,5,20,8556,0,-1614,90,0,0
31,10,676,676,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
32,1,680,680,5,20,-11000,0,4090,90,0,0
32,2,684,684,5,20,-8556,0,1568,90,0,0
32,3,688,688,5,20,-6111,0,-4331,90,0,0
32,4,692,692,5,20,-3667,0,4581,90,0,0
32,5,696,696,5,20,-1222,0,-1774,90,0,0
32,6,700,700,5,20,1222,0,-3503,90,0,0
32,7,704,704,5,20,3667,0,-1506,90,0,0
32,8,708,708,5,20,6111,0,-3897,90,0,0
32,9,712,712,5,20,8556,0,-1614,90,0,0
32,10,716,716,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
33,1,720,720,5,20,-11000,0,4090,90,0,0
33,2,724,724,5,20,-8556,0,1568,90,0,0
33,3,728,728,5,20,-6111,0,-4331,90,0,0
33,4,732,732,5,20,-3667,0,4581,90,0,0
33,5,736,736,5,20,-1222,0,-1774,90,0,0
33,6,740,740,5,20,1222,0,-3503,90,0,0
33,7,744,744,5,20,3667,0,-1506,90,0,0
33,8,748,748,5,20,6111,0,-3897,90,0,0
33,9,752,752,5,20,8556,0,-1614,90,0,0
33,10,756,756,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
34,1,760,760,5,20,-11000,0,4090,90,0,0
34,2,764,764,5,20,-8556,0,1568,90,0,0
34,3,768,768,5,20,-6111,0,-4331,90,0,0
34,4,772,772,5,20,-3667,0,4581,90,0,0
34,5,776,776,5,20,-1222,0,-1774,90,0,0
34,6,780,780,5,20,1222,0,-3503,90,0,0
34,7,784,784,5,20,3667,0,-1506,90,0,0
34,8,788,788,5,20,6111,0,-3897,90,0,0
34,9,792,792,5,20,8556,0,-1614,90,0,0
34,10,796,796,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
35,1,800,800,5,20,-11000,0,4090,90,0,0
35,2,804,804,5,20,-8556,0,1568,90,0,0
35,3,808,808,5,20,-6111,0,-4331,90,0,0
35,4,812,812,5,20,-3667,0,4581,90,0,0
35,5,816,816,5,20,-1222,0,-1774,90,0,0
35,6,820,820,5,20,1222,0,-3503,90,0,0
35,7,824,824,5,20,3667,0,-1506,90,0,0
35,8,828,828,5,20,6111,0,-3897,90,0,0
35,9,832,832,5,20,8556,0,-1614,90,0,0
35,10,836,836,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
36,1,840,840,5,20,-11000,0,4090,90,0,0
36,2,844,844,5,20,-8556,0,1568,90,0,0
36,3,848,848,5,20,-6111,0,-4331,90,0,0
36,4,852,852,5,20,-3667,0,4581,90,0,0
36,5,856,856,5,20,-1222,0,-1774,90,0,0
36,6,860,860,5,20,1222,0,-3503,90,0,0
36,7,864,864,5,20,3667,0,-1506,90,0,0
36,8,868,868,5,20,6111,0,-3897,90,0,0
36,9,872,872,5,20,8556,0,-1614,90,0,0
36,10,876,876,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
37,1,880,880,5,20,-11000,0,4090,90,0,0
37,2,884,884,5,20,-8556,0,1568,90,0,0
37,3,888,888,5,20,-6111,0,-4331,90,0,0
37,4,892,892,5,20,-3667,0,4581,90,0,0
37,5,896,896,5,20,-1222,0,-1774,90,0,0
37,6,900,900,5,20,1222,0,-3503,90,0,0
37,7,904,904,5,20,3667,0,-1506,90,0,0
37,8,908,908,5,20,6111,0,-3897,90,0,0
37,9,912,912,5,20,8556,0,-1614,90,0,0
37,10,916,916,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
38,1,920,920,5,20,-11000,0,4090,90,0,0
38,2,924,924,5,20,-8556,0,1568,90,0,0
38,3,928,928,5,20,-6111,0,-4331,90,0,0
38,4,932,932,5,20,-3667,0,4581,90,0,0
38,5,936,936,5,20,-1222,0,-1774,90,0,0
38,6,940,940,5,20,1222,0,-3503,90,0,0
38,7,944,944,5,20,3667,0,-1506,90,0,0
38,8,948,948,5,20,6111,0,-3897,90,0,0
38,9,952,952,5,20,8556,0,-1614,90,0,0
38,10,956,956,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
39,1,960,960,5,20,-11000,0,4090,90,0,0
39,2,964,964,5,20,-8556,0,1568,90,0,0
39,3,968,968,5,20,-6111,0,-4331,90,0,0
39,4,972,972,5,20,-3667,0,4581,90,0,0
39,5,976,976,5,20,-1222,0,-1774,90,0,0
39,6,980,980,5,20,1222,0,-3503,90,0,0
39,7,984,984,5,20,3667,0,-1506,90,0,0
39,8,988,988,5,20,6111,0,-3897,90,0,0
39,9,992,992,5,20,8556,0,-1614,90,0,0
39,10,996,996,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
40,1,1000,1000,5,20,-11000,0,4090,90,0,0
40,2,1004,1004,5,20,-8556,0,1568,90,0,0
40,3,1008,1008,5,20,-6111,0,-4331,90,0,0
40,4,1012,1012,5,20,-3667,0,4581,90,0,0
40,5,1016,1016,5,20,-1222,0,-1774,90,0,0
40,6,1020,1020,5,20,1222,0,-3503,90,0,0
40,7,1024,1024,5,20,3667,0,-1506,90,0,0
40,8,1028,1028,5,20,6111,0,-3897,90,0,0
40,9,1032,1032,5,20,8556,0,-1614,90,0,0
40,10,1036,1036,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
41,1,1050,1050,5,20,-11000,0,4090,90,0,0
41,2,1055,1055,5,20,-8556,0,1568,90,0,0
41,3,1060,1060,5,20,-6111,0,-4331,90,0,0
41,4,1065,1065,5,20,-3667,0,4581,90,0,0
41,5,1070,1070,5,20,-1222,0,-1774,90,0,0
41,6,1075,1075,5,20,1222,0,-3503,90,0,0
41,7,1080,1080,5,20,3667,0,-1506,90,0,0
41,8,1085,1085,5,20,6111,0,-3897,90,0,0
41,9,1090,1090,5,20,8556,0,-1614,90,0,0
41,10,1095,1095,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
42,1,1100,1100,5,20,-11000,0,4090,90,0,0
42,2,1105,1105,5,20,-8556,0,1568,90,0,0
42,3,1110,1110,5,20,-6111,0,-4331,90,0,0
42,4,1115,1115,5,20,-3667,0,4581,90,0,0
42,5,1120,1120,5,20,-1222,0,-1774,90,0,0
42,6,1125,1125,5,20,1222,0,-3503,90,0,0
42,7,1130,1130,5,20,3667,0,-1506,90,0,0
42,8,1135,1135,5,20,6111,0,-3897,90,0,0
42,9,1140,1140,5,20,8556,0,-1614,90,0,0
42,10,1145,1145,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
43,1,1150,1150,5,20,-11000,0,4090,90,0,0
43,2,1155,1155,5,20,-8556,0,1568,90,0,0
43,3,1160,1160,5,20,-6111,0,-4331,90,0,0
43,4,1165,1165,5,20,-3667,0,4581,90,0,0
43,5,1170,1170,5,20,-1222,0,-1774,90,0,0
43,6,1175,1175,5,20,1222,0,-3503,90,0,0
43,7,1180,1180,5,20,3667,0,-1506,90,0,0
43,8,1185,1185,5,20,6111,0,-3897,90,0,0
43,9,1190,1190,5,20,8556,0,-1614,90,0,0
43,10,1195,1195,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
44,1,1200,1200,5,20,-11000,0,4090,90,0,0
44,2,1205,1205,5,20,-8556,0,1568,90,0,0
44,3,1210,1210,5,20,-6111,0,-4331,90,0,0
44,4,1215,1215,5,20,-3667,0,4581,90,0,0
44,5,1220,1220,5,20,-1222,0,-1774,90,0,0
44,6,1225,1225,5,20,1222,0,-3503,90,0,0
44,7,1230,1230,5,20,3667,0,-1506,90,0,0
44,8,1235,1235,5,20,6111,0,-3897,90,0,0
44,9,1240,1240,5,20,8556,0,-1614,90,0,0
44,10,1245,1245,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
45,1,1250,1250,5,20,-11000,0,4090,90,0,0
45,2,1255,1255,5,20,-8556,0,1568,90,0,0
45,3,1260,1260,5,20,-6111,0,-4331,90,0,0
45,4,1265,1265,5,20,-3667,0,4581,90,0,0
45,5,1270,1270,5,20,-1222,0,-1774,90,0,0
45,6,1275,1275,5,20,1222,0,-3503,90,0,0
45,7,1280,1280,5,20,3667,0,-1506,90,0,0
45,8,1285,1285,5,20,6111,0,-3897,90,0,0
45,9,1290,1290,5,20,8556,0,-1614,90,0,0
45,10,1295,1295,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
46,1,1300,1300,5,20,-11000,0,4090,90,0,0
46,2,1305,1305,5,20,-8556,0,1568,90,0,0
46,3,1310,1310,5,20,-6111,0,-4331,90,0,0
46,4,1315,1315,5,20,-3667,0,4581,90,0,0
46,5,1320,1320,5,20,-1222,0,-1774,90,0,0
46,6,1325,1325,5,20,1222,0,-3503,90,0,0
46,7,1330,1330,5,20,3667,0,-1506,90,0,0
46,8,1335,1335,5,20,6111,0,-3897,90,0,0
46,9,1340,1340,5,20,8556,0,-1614,90,0,0
46,10,1345,1345,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
47,1,1350,1350,5,20,-11000,0,4090,90,0,0
47,2,1355,1355,5,20,-8556,0,1568,90,0,0
47,3,1360,1360,5,20,-6111,0,-4331,90,0,0
47,4,1365,1365,5,20,-3667,0,4581,90,0,0
47,5,1370,1370,5,20,-1222,0,-1774,90,0,0
47,6,1375,1375,5,20,1222,0,-3503,90,0,0
47,7,1380,1380,5,20,3667,0,-1506,90,0,0
47,8,1385,1385,5,20,6111,0,-3897,90,0,0
47,9,1390,1390,5,20,8556,0,-1614,90,0,0
47,10,1395,1395,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
48,1,1400,1400,5,20,-11000,0,4090,90,0,0
48,2,1405,1405,5,20,-8556,0,1568,90,0,0
48,3,1410,1410,5,20,-6111,0,-4331,90,0,0
48,4,1415,1415,5,20,-3667,0,4581,90,0,0
48,5,1420,1420,5,20,-1222,0,-1774,90,0,0
48,6,1425,1425,5,20,1222,0,-3503,90,0,0
48,7,1430,1430,5,20,3667,0,-1506,90,0,0
48,8,1435,1435,5,20,6111,0,-3897,90,0,0
48,9,1440,1440,5,20,8556,0,-1614,90,0,0
48,10,1445,1445,5,20,11000,0,1993,90,0,0
,,,,,,,,,,,
49,1,1450,1450,5,20,-11000,0,4090,90,0,0
49,2,1455,1455,5,20,-8556,0,1568,90,0,0
49,3,1460,1460,5,20,-6111,0,-4331,90,0,0
