zone,stage,mineral_clear_reward,spawn_delay,ship_spawn_interval,max_concurrent_enemy_ships
5,26,10,1,1.5,10
5,27,10,1,1.5,10
5,28,10,1,1.5,10
5,29,10,1,1.5,10
5,30,10,1,1.5,10
6,1,10,1,1.5,10
6,2,10,1,1.5,10
6,3,10,1,1.5,10
6,4,10,1,1.5,10
6,5,10,1,1.5,10
6,6,10,1,1.5,10
6,7,10,1,1.5,10
6,8,10,1,1.5,10
6,9,10,1,1.5,10
6,10,10,1,1.5,10
6,11,10,1,1.5,10
6,12,10,1,1.5,10
6,13,10,1,1.5,10
6,14,10,1,1.5,10
6,15,10,1,1.5,10
6,16,10,1,1.5,10
6,17,10,1,1.5,10
6,18,10,1,1.5,10
6,19,10,1,1.5,10
6,20,10,1,1.5,10
6,21,10,1,1.5,10
6,22,10,1,1.5,10
6,23,10,1,1.5,10
6,24,10,1,1.5,10
6,25,10,1,1.5,10
6,26,10,1,1.5,10
6,27,10,1,1.5,10
6,28,10,1,1.5,10
6,29,10,1,1.5,10
6,30,10,1,1.5,10
7,1,10,1,1.5,10
7,2,10,1,1.5,10
7,3,10,1,1.5,10
7,4,10,1,1.5,10
7,5,10,1,1.5,10
7,6,10,1,1.5,10
7,7,10,1,1.5,10
7,8,10,1,1.5,10
7,9,10,1,1.5,10
7,10,10,1,1.5,10
7,11,10,1,1.5,10
7,12,10,1,1.5,10
7,13,10,1,1.5,10
7,14,10,1,1.5,10
7,15,10,1,1.5,10
7,16,10,1,1.5,10
7,17,10,1,1.5,10
7,18,10,1,1.5,10
7,19,10,1,1.5,10
7,20,10,1,1.5,10
7,21,10,1,1.5,10
7,22,10,1,1.5,10
7,23,10,1,1.5,10
7,24,10,1,1.5,10
7,25,10,1,1.5,10
7,26,10,1,1.5,10
7,27,10,1,1.5,10
7,28,10,1,1.5,10
7,29,10,1,1.5,10
7,30,10,1,1.5,10
8,1,10,1,1.5,10
8,2,10,1,1.5,10
8,3,10,1,1.5,10
8,4,10,1,1.5,10
8,5,10,1,1.5,10
8,6,10,1,1.5,10
8,7,10,1,1.5,10
8,8,10,1,1.5,10
8,9,10,1,1.5,10
8,10,10,1,1.5,10
8,11,10,1,1.5,10
8,12,10,1,1.5,10
8,13,10,1,1.5,10
8,14,10,1,1.5,10
8,15,10,1,1.5,10
8,16,10,1,1.5,10
8,17,10,1,1.5,10
8,18,10,1,1.5,10
8,19,10,1,1.5,10
8,20,10,1,1.5,10
8,21,10,1,1.5,10
8,22,10,1,1.5,10
8,23,10,1,1.5,10
8,24,10,1,1.5,10
8,25,10,1,1.5,10
8,26,10,1,1.5,10
8,27,10,1,1.5,10
8,28,10,1,1.5,10
8,29,10,1,1.5,10
8,30,10,1,1.5,10
9,1,10,1,1.5,10
9,2,10,1,1.5,10
9,3,10,1,1.5,10
9,4,10,1,1.5,10
9,5,10,1,1.5,10
9,6,10,1,1.5,10
9,7,10,1,1.5,10
9,8,10,1,1.5,10
9,9,10,1,1.5,10
9,10,10,1,1.5,10
9,11,10,1,1.5,10
9,12,10,1,1.5,10
9,13,10,1,1.5,10
9,14,10,1,1.5,10
9,15,10,1,1.5,10
9,16,10,1,1.5,10
9,17,10,1,1.5,10
9,18,10,1,1.5,10
9,19,10,1,1.5,10
9,20,10,1,1.5,10
9,21,10,1,1.5,10
9,22,10,1,1.5,10
9,23,10,1,1.5,10
9,24,10,1,1.5,10
9,25,10,1,1.5,10
9,26,10,1,1.5,10
9,27,10,1,1.5,10
9,28,10,1,1.5,10
9,29,10,1,1.5,10
9,30,10,1,1.5,10
