zone_index,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,land_coverage,biome_blend,g_blend,deep_sea_color,shallow_sea_color,lowland_sand_color,lowland_green_color,plains_desert_color,plains_grass_color,plains_forest_color,highland_snow_color,has_polar_ice,ice_color,ice_color_edge,pole_ice_width,has_clouds,cloud_color,cloud_coverage,cloud_rotation,cloud_scale,cloud_mid_lat_opacity,cloud_mid_lat_center,cloud_mid_lat_width,cloud_softness,has_atmosphere,atmosphere_color,atmosphere_scale
13,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
14,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
15,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
16,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
17,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
18,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
19,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
20,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
21,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
22,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
23,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
24,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
25,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
26,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
27,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
28,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
29,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
30,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
31,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
32,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
33,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
34,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
35,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
36,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
37,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
38,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
39,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
40,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
41,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
42,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
43,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
44,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
45,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
46,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
47,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
48,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
49,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
50,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
51,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
52,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
53,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
54,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
55,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
56,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
57,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
58,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
59,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
60,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
61,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
62,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
63,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
64,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
65,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
66,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
67,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
68,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
69,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
70,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
71,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
72,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
73,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
74,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
75,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
76,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
77,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
78,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
79,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
80,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
81,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
82,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
83,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
84,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
85,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
86,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
87,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
88,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
89,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
