zone_index,grid_width,grid_height,enemy_hull_tier_sum,enemy_base_hull_tier,enemy_max_ship_count,enemy_module_placement_probability,enemy_module_performance_probability,enemy_hull_weight_none,enemy_hull_weight_shield,enemy_hull_weight_interceptor,enemy_hull_weight_both,enemy_health_multiplier,enemy_attack_multiplier,enemy_wave_spawn_term_sec,exploration_point_reward,commander_exp_reward
25,5,5,6,3,2,0.5,0.5,98,1,1,0,1,1,5,34,34
26,5,5,7,4,3,0.6,0.6,98,1,1,0,1,1,5,35,35
27,5,5,7,4,3,0.7,0.7,98,1,1,0,1,1,5,36,36
28,5,5,7,4,3,0.8,0.8,98,1,1,0,1,1,5,37,37
29,5,5,7,4,3,0.9,0.9,98,1,1,0,1,1,5,38,38
30,5,5,7,4,3,1,1,98,1,1,0,1,1,5,39,39
31,7,7,8,4,3,1,1,98,1,1,0,1,1,5,40,40
32,7,7,8,4,3,0.2,0.2,98,1,1,0,1,1,5,41,41
33,7,7,8,4,3,0.3,0.3,98,1,1,0,1,1,5,42,42
34,7,7,8,4,3,0.4,0.4,98,1,1,0,1,1,5,43,43
35,7,7,9,5,3,0.5,0.5,98,1,1,0,1,1,5,44,44
36,7,7,9,5,3,0.6,0.6,98,1,1,0,1,1,5,45,45
37,7,7,9,5,3,0.7,0.7,98,1,1,0,1,1,5,46,46
38,7,7,9,5,3,0.8,0.8,98,1,1,0,1,1,5,47,47
39,7,7,10,5,3,0.9,0.9,98,1,1,0,1,1,5,48,48
40,7,7,10,5,3,1,1,98,1,1,0,1,1,5,49,49
41,7,7,10,5,3,1,1,98,1,1,0,1,1,5,50,50
42,7,7,10,5,3,0.2,0.2,98,1,1,0,1,1,5,51,51
43,7,7,11,5,3,0.3,0.3,98,1,1,0,1,1,5,52,52
44,7,7,11,5,3,0.4,0.4,98,1,1,0,1,1,5,53,53
45,7,7,11,5,3,0.5,0.5,98,1,1,0,1,1,5,54,54
46,7,7,11,5,3,0.6,0.6,98,1,1,0,1,1,5,55,55
47,7,7,12,6,3,0.7,0.7,98,1,1,0,1,1,5,56,56
48,7,7,12,6,3,0.8,0.8,98,1,1,0,1,1,5,57,57
49,7,7,12,6,3,0.9,0.9,98,1,1,0,1,1,5,58,58
50,7,7,12,6,3,1,1,80,10,10,0,1,1,5,59,59
51,7,7,13,6,3,1,1,80,10,10,0,1,1,5,60,60
52,7,7,13,6,3,0.2,0.2,80,10,10,0,1,1,5,61,61
53,7,7,13,6,3,0.3,0.3,80,10,10,0,1,1,5,62,62
54,7,7,13,7,3,0.4,0.4,80,10,10,0,1,1,5,63,63
55,7,7,14,7,3,0.5,0.5,80,10,10,0,1,1,5,64,64
56,7,7,14,7,3,0.6,0.6,80,10,10,0,1,1,5,65,65
57,7,7,14,7,3,0.7,0.7,80,10,10,0,1,1,5,66,66
58,7,7,14,7,3,0.8,0.8,80,10,10,0,1,1,5,67,67
59,7,7,15,7,3,0.9,0.9,80,10,10,0,1,1,5,68,68
60,7,7,15,7,4,1,1,70,15,15,0,1,1,5,69,69
61,7,7,15,7,4,1,1,70,15,15,0,1,1,5,70,70
62,7,7,15,8,4,0.2,0.2,70,15,15,0,1,1,5,71,71
63,7,7,16,8,4,0.3,0.3,70,15,15,0,1,1,5,72,72
64,7,7,16,8,4,0.4,0.4,70,15,15,0,1,1,5,73,73
65,7,7,16,8,4,0.5,0.5,70,15,15,0,1,1,5,74,74
66,7,7,16,8,4,0.6,0.6,70,15,15,0,1,1,5,75,75
67,7,7,16,8,4,0.7,0.7,70,15,15,0,1,1,5,76,76
68,7,7,17,8,4,0.8,0.8,70,15,15,0,1,1,5,77,77
69,7,7,17,8,4,0.9,0.9,70,15,15,0,1,1,5,78,78
70,7,7,17,8,4,1,1,60,20,20,0,1,1,5,79,79
71,7,7,17,8,4,1,1,60,20,20,0,1,1,5,80,80
72,7,7,18,9,4,0.2,0.2,60,20,20,0,1,1,5,81,81
73,7,7,18,9,4,0.3,0.3,60,20,20,0,1,1,5,82,82
74,7,7,18,9,4,0.4,0.4,60,20,20,0,1,1,5,83,83
75,7,7,18,9,4,0.5,0.5,60,20,20,0,1,1,5,84,84
76,7,7,19,9,4,0.6,0.6,60,20,20,0,1,1,5,85,85
77,7,7,19,9,4,0.7,0.7,60,20,20,0,1,1,5,86,86
78,7,7,19,9,4,0.8,0.8,60,20,20,0,1,1,5,87,87
79,7,7,19,9,4,0.9,0.9,60,20,20,0,1,1,5,88,88
80,7,7,19,9,4,1,1,50,25,25,0,1,1,5,89,89
81,7,7,20,9,4,1,1,50,25,25,0,1,1,5,90,90
82,7,7,20,10,4,0.2,0.2,50,25,25,0,1,1,5,91,91
83,7,7,20,10,4,0.3,0.3,50,25,25,0,1,1,5,92,92
84,7,7,20,10,4,0.4,0.4,50,25,25,0,1,1,5,93,93
85,7,7,21,10,4,0.5,0.5,50,25,25,0,1,1,5,94,94
86,7,7,21,10,4,0.6,0.6,50,25,25,0,1,1,5,95,95
87,7,7,21,10,4,0.7,0.7,50,25,25,0,1,1,5,96,96
88,7,7,21,10,4,0.8,0.8,50,25,25,0,1,1,5,97,97
89,7,7,21,10,4,0.9,0.9,50,25,25,0,1,1,5,98,98
90,7,7,22,10,5,1,1,40,25,25,10,1,1,5,99,99
91,7,7,22,10,5,1,1,40,25,25,10,1,1,5,100,100
92,7,7,22,11,5,0.2,0.2,40,25,25,10,1,1,5,101,101
93,7,7,22,11,5,0.3,0.3,40,25,25,10,1,1,5,102,102
94,7,7,22,11,5,0.4,0.4,40,25,25,10,1,1,5,103,103
95,7,7,23,11,5,0.5,0.5,40,25,25,10,1,1,5,104,104
96,7,7,23,11,5,0.6,0.6,40,25,25,10,1,1,5,105,105
97,7,7,23,11,5,0.7,0.7,40,25,25,10,1,1,5,106,106
98,7,7,23,11,5,0.8,0.8,40,25,25,10,1,1,5,107,107
99,7,7,23,11,5,0.9,0.9,40,25,25,10,1,1,5,108,108
100,7,7,24,11,5,1,1,30,30,30,10,1,1,5,109,109
