zone_stage,stage,fleet_index,ship_index,body_type,body_level,beam_type,beam_level,beam_count,missile_type,missile_level,missile_count,hanger_type,hanger_level,hanger_count,body_ratio,beam_ratio,missile_ratio,hanger_ratio
5,7,0,0,body_t5_m1,7,beam_t5_m1,7,2,,,,,,,1,1,1,1
5,7,0,1,body_t2_m1,7,beam_t2_m1,7,2,,,,,,,1,1,1,1
5,8,0,0,body_t3_m1,8,beam_t3_m1,8,2,missile_t3_m1,1,1,,,,1,1,1,1
5,8,0,1,body_t3_m1,8,beam_t3_m1,8,2,missile_t3_m1,1,1,,,,1,1,1,1
5,8,0,2,body_t1_m1,8,beam_t1_m1,8,1,missile_t1_m1,1,1,,,,1,1,1,1
5,9,0,0,body_t5_m1,9,beam_t5_m1,9,2,,,,,,,1,1,1,1
5,9,0,1,body_t2_m1,9,beam_t2_m1,9,2,,,,,,,1,1,1,1
5,10,0,0,body_t3_m1,10,beam_t3_m1,10,2,missile_t3_m1,1,1,hanger_t3_m1,1,1,1,1,1,1
5,10,0,1,body_t2_m1,10,beam_t2_m1,10,2,missile_t2_m1,1,1,hanger_t2_m1,1,1,1,1,1,1
5,10,0,2,body_t1_m1,10,beam_t1_m1,10,1,missile_t1_m1,1,1,hanger_t1_m1,1,1,1,1,1,1
5,10,0,3,body_t1_m1,10,beam_t1_m1,10,1,missile_t1_m1,1,1,hanger_t1_m1,1,1,1,1,1,1
6,1,0,0,body_t5_m1,1,beam_t5_m1,1,2,,,,,,,1,1,1,1
6,1,0,1,body_t4_m1,1,beam_t4_m1,1,2,,,,,,,1,1,1,1
6,2,0,0,body_t4_m1,2,beam_t4_m1,2,2,missile_t4_m1,1,2,,,,1,1,1,1
6,2,0,1,body_t3_m1,2,beam_t3_m1,2,2,missile_t3_m1,1,1,,,,1,1,1,1
6,2,0,2,body_t2_m1,2,beam_t2_m1,2,2,missile_t2_m1,1,1,,,,1,1,1,1
6,3,0,0,body_t6_m1,3,beam_t6_m1,3,2,,,,,,,1,1,1,1
6,3,0,1,body_t2_m1,3,beam_t2_m1,3,2,,,,,,,1,1,1,1
6,3,0,2,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
6,4,0,0,body_t6_m1,4,beam_t6_m1,4,2,missile_t6_m1,1,2,,,,1,1,1,1
6,4,0,1,body_t2_m1,4,beam_t2_m1,4,2,missile_t2_m1,1,1,,,,1,1,1,1
6,4,0,2,body_t1_m1,4,beam_t1_m1,4,1,missile_t1_m1,1,1,,,,1,1,1,1
6,5,0,0,body_t4_m1,5,beam_t4_m1,5,2,,,,,,,1,1,1,1
6,5,0,1,body_t2_m1,5,beam_t2_m1,5,2,,,,,,,1,1,1,1
6,5,0,2,body_t2_m1,5,beam_t2_m1,5,2,,,,,,,1,1,1,1
6,5,0,3,body_t1_m1,5,beam_t1_m1,5,1,,,,,,,1,1,1,1
6,6,0,0,body_t5_m1,6,beam_t5_m1,6,2,missile_t5_m1,1,2,,,,1,1,1,1
6,6,0,1,body_t2_m1,6,beam_t2_m1,6,2,missile_t2_m1,1,1,,,,1,1,1,1
6,6,0,2,body_t1_m1,6,beam_t1_m1,6,1,missile_t1_m1,1,1,,,,1,1,1,1
6,6,0,3,body_t1_m1,6,beam_t1_m1,6,1,missile_t1_m1,1,1,,,,1,1,1,1
6,7,0,0,body_t4_m1,7,beam_t4_m1,7,2,,,,,,,1,1,1,1
6,7,0,1,body_t2_m1,7,beam_t2_m1,7,2,,,,,,,1,1,1,1
6,7,0,2,body_t2_m1,7,beam_t2_m1,7,2,,,,,,,1,1,1,1
6,7,0,3,body_t1_m1,7,beam_t1_m1,7,1,,,,,,,1,1,1,1
6,8,0,0,body_t3_m1,8,beam_t3_m1,8,2,missile_t3_m1,1,1,,,,1,1,1,1
6,8,0,1,body_t3_m1,8,beam_t3_m1,8,2,missile_t3_m1,1,1,,,,1,1,1,1
6,8,0,2,body_t3_m1,8,beam_t3_m1,8,2,missile_t3_m1,1,1,,,,1,1,1,1
6,9,0,0,body_t5_m1,9,beam_t5_m1,9,2,,,,,,,1,1,1,1
6,9,0,1,body_t2_m1,9,beam_t2_m1,9,2,,,,,,,1,1,1,1
6,9,0,2,body_t2_m1,9,beam_t2_m1,9,2,,,,,,,1,1,1,1
6,10,0,0,body_t3_m1,10,beam_t3_m1,10,2,missile_t3_m1,1,1,hanger_t3_m1,1,1,1,1,1,1
6,10,0,1,body_t3_m1,10,beam_t3_m1,10,2,missile_t3_m1,1,1,hanger_t3_m1,1,1,1,1,1,1
6,10,0,2,body_t3_m1,10,beam_t3_m1,10,2,missile_t3_m1,1,1,hanger_t3_m1,1,1,1,1,1,1
7,1,0,0,body_t5_m1,1,beam_t5_m1,1,2,,,,,,,1,1,1,1
7,1,0,1,body_t3_m1,1,beam_t3_m1,1,2,,,,,,,1,1,1,1
7,1,0,2,body_t1_m1,1,beam_t1_m1,1,1,,,,,,,1,1,1,1
7,1,0,3,body_t1_m1,1,beam_t1_m1,1,1,,,,,,,1,1,1,1
7,1,0,4,body_t1_m1,1,beam_t1_m1,1,1,,,,,,,1,1,1,1
7,2,0,0,body_t4_m1,2,beam_t4_m1,2,2,missile_t4_m1,1,2,,,,1,1,1,1
7,2,0,1,body_t3_m1,2,beam_t3_m1,2,2,missile_t3_m1,1,1,,,,1,1,1,1
7,2,0,2,body_t2_m1,2,beam_t2_m1,2,2,missile_t2_m1,1,1,,,,1,1,1,1
7,2,0,3,body_t1_m1,2,beam_t1_m1,2,1,missile_t1_m1,1,1,,,,1,1,1,1
7,2,0,4,body_t1_m1,2,beam_t1_m1,2,1,missile_t1_m1,1,1,,,,1,1,1,1
7,3,0,0,body_t6_m1,3,beam_t6_m1,3,2,,,,,,,1,1,1,1
7,3,0,1,body_t4_m1,3,beam_t4_m1,3,2,,,,,,,1,1,1,1
7,3,0,2,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
7,4,0,0,body_t7_m1,4,beam_t7_m1,4,3,missile_t7_m1,1,2,,,,1,1,1,1
7,4,0,1,body_t2_m1,4,beam_t2_m1,4,2,missile_t2_m1,1,1,,,,1,1,1,1
7,4,0,2,body_t1_m1,4,beam_t1_m1,4,1,missile_t1_m1,1,1,,,,1,1,1,1
7,4,0,3,body_t1_m1,4,beam_t1_m1,4,1,missile_t1_m1,1,1,,,,1,1,1,1
7,5,0,0,body_t5_m1,5,beam_t5_m1,5,2,,,,,,,1,1,1,1
7,5,0,1,body_t4_m1,5,beam_t4_m1,5,2,,,,,,,1,1,1,1
7,5,0,2,body_t2_m1,5,beam_t2_m1,5,2,,,,,,,1,1,1,1
7,6,0,0,body_t6_m1,6,beam_t6_m1,6,2,missile_t6_m1,1,2,,,,1,1,1,1
7,6,0,1,body_t3_m1,6,beam_t3_m1,6,2,missile_t3_m1,1,1,,,,1,1,1,1
7,6,0,2,body_t1_m1,6,beam_t1_m1,6,1,missile_t1_m1,1,1,,,,1,1,1,1
7,6,0,3,body_t1_m1,6,beam_t1_m1,6,1,missile_t1_m1,1,1,,,,1,1,1,1
7,7,0,0,body_t6_m1,7,beam_t6_m1,7,2,,,,,,,1,1,1,1
7,7,0,1,body_t3_m1,7,beam_t3_m1,7,2,,,,,,,1,1,1,1
7,7,0,2,body_t2_m1,7,beam_t2_m1,7,2,,,,,,,1,1,1,1
7,8,0,0,body_t4_m1,8,beam_t4_m1,8,2,missile_t4_m1,1,2,,,,1,1,1,1
7,8,0,1,body_t3_m1,8,beam_t3_m1,8,2,missile_t3_m1,1,1,,,,1,1,1,1
7,8,0,2,body_t2_m1,8,beam_t2_m1,8,2,missile_t2_m1,1,1,,,,1,1,1,1
7,8,0,3,body_t1_m1,8,beam_t1_m1,8,1,missile_t1_m1,1,1,,,,1,1,1,1
7,8,0,4,body_t1_m1,8,beam_t1_m1,8,1,missile_t1_m1,1,1,,,,1,1,1,1
7,9,0,0,body_t7_m1,9,beam_t7_m1,9,3,,,,,,,1,1,1,1
7,9,0,1,body_t4_m1,9,beam_t4_m1,9,2,,,,,,,1,1,1,1
7,10,0,0,body_t6_m1,10,beam_t6_m1,10,2,missile_t6_m1,1,2,hanger_t6_m1,1,2,1,1,1,1
7,10,0,1,body_t2_m1,10,beam_t2_m1,10,2,missile_t2_m1,1,1,hanger_t2_m1,1,1,1,1,1,1
7,10,0,2,body_t2_m1,10,beam_t2_m1,10,2,missile_t2_m1,1,1,hanger_t2_m1,1,1,1,1,1,1
7,10,0,3,body_t1_m1,10,beam_t1_m1,10,1,missile_t1_m1,1,1,hanger_t1_m1,1,1,1,1,1,1
8,1,0,0,body_t3_m1,1,beam_t3_m1,1,2,,,,,,,1,1,1,1
8,1,0,1,body_t3_m1,1,beam_t3_m1,1,2,,,,,,,1,1,1,1
8,1,0,2,body_t2_m1,1,beam_t2_m1,1,2,,,,,,,1,1,1,1
8,2,0,0,body_t4_m1,2,beam_t4_m1,2,2,missile_t4_m1,1,2,,,,1,1,1,1
8,2,0,1,body_t4_m1,2,beam_t4_m1,2,2,missile_t4_m1,1,2,,,,1,1,1,1
8,3,0,0,body_t3_m1,3,beam_t3_m1,3,2,,,,,,,1,1,1,1
8,3,0,1,body_t3_m1,3,beam_t3_m1,3,2,,,,,,,1,1,1,1
8,3,0,2,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
8,3,0,3,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
8,4,0,0,body_t5_m1,4,beam_t5_m1,4,2,missile_t5_m1,1,2,,,,1,1,1,1
8,4,0,1,body_t2_m1,4,beam_t2_m1,4,2,missile_t2_m1,1,1,,,,1,1,1,1
8,4,0,2,body_t1_m1,4,beam_t1_m1,4,1,missile_t1_m1,1,1,,,,1,1,1,1
8,5,0,0,body_t5_m1,5,beam_t5_m1,5,2,,,,,,,1,1,1,1
8,5,0,1,body_t2_m1,5,beam_t2_m1,5,2,,,,,,,1,1,1,1
8,5,0,2,body_t1_m1,5,beam_t1_m1,5,1,,,,,,,1,1,1,1
8,6,0,0,body_t5_m1,6,beam_t5_m1,6,2,missile_t5_m1,1,2,,,,1,1,1,1
8,6,0,1,body_t2_m1,6,beam_t2_m1,6,2,missile_t2_m1,1,1,,,,1,1,1,1
8,6,0,2,body_t1_m1,6,beam_t1_m1,6,1,missile_t1_m1,1,1,,,,1,1,1,1
8,7,0,0,body_t6_m1,7,beam_t6_m1,7,2,,,,,,,1,1,1,1
8,7,0,1,body_t1_m1,7,beam_t1_m1,7,1,,,,,,,1,1,1,1
8,7,0,2,body_t1_m1,7,beam_t1_m1,7,1,,,,,,,1,1,1,1
8,8,0,0,body_t3_m1,8,beam_t3_m1,8,2,missile_t3_m1,1,1,,,,1,1,1,1
8,8,0,1,body_t3_m1,8,beam_t3_m1,8,2,missile_t3_m1,1,1,,,,1,1,1,1
8,8,0,2,body_t2_m1,8,beam_t2_m1,8,2,missile_t2_m1,1,1,,,,1,1,1,1
8,9,0,0,body_t6_m1,9,beam_t6_m1,9,2,,,,,,,1,1,1,1
8,9,0,1,body_t1_m1,9,beam_t1_m1,9,1,,,,,,,1,1,1,1
8,9,0,2,body_t1_m1,9,beam_t1_m1,9,1,,,,,,,1,1,1,1
8,10,0,0,body_t7_m1,10,beam_t7_m1,10,3,missile_t7_m1,1,2,hanger_t7_m1,1,2,1,1,1,1
8,10,0,1,body_t1_m1,10,beam_t1_m1,10,1,missile_t1_m1,1,1,hanger_t1_m1,1,1,1,1,1,1
9,1,0,0,body_t4_m1,1,beam_t4_m1,1,2,,,,,,,1,1,1,1
9,1,0,1,body_t3_m1,1,beam_t3_m1,1,2,,,,,,,1,1,1,1
9,1,0,2,body_t2_m1,1,beam_t2_m1,1,2,,,,,,,1,1,1,1
9,2,0,0,body_t3_m1,2,beam_t3_m1,2,2,missile_t3_m1,1,1,,,,1,1,1,1
9,2,0,1,body_t3_m1,2,beam_t3_m1,2,2,missile_t3_m1,1,1,,,,1,1,1,1
9,2,0,2,body_t2_m1,2,beam_t2_m1,2,2,missile_t2_m1,1,1,,,,1,1,1,1
9,2,0,3,body_t1_m1,2,beam_t1_m1,2,1,missile_t1_m1,1,1,,,,1,1,1,1
9,3,0,0,body_t4_m1,3,beam_t4_m1,3,2,,,,,,,1,1,1,1
9,3,0,1,body_t2_m1,3,beam_t2_m1,3,2,,,,,,,1,1,1,1
9,3,0,2,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
9,3,0,3,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
9,3,0,4,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
9,4,0,0,body_t7_m1,4,beam_t7_m1,4,3,missile_t7_m1,1,2,,,,1,1,1,1
9,4,0,1,body_t2_m1,4,beam_t2_m1,4,2,missile_t2_m1,1,1,,,,1,1,1,1
9,5,0,0,body_t7_m1,5,beam_t7_m1,5,3,,,,,,,1,1,1,1
9,5,0,1,body_t2_m1,5,beam_t2_m1,5,2,,,,,,,1,1,1,1
9,6,0,0,body_t7_m1,6,beam_t7_m1,6,3,missile_t7_m1,1,2,,,,1,1,1,1
9,6,0,1,body_t2_m1,6,beam_t2_m1,6,2,missile_t2_m1,1,1,,,,1,1,1,1
9,7,0,0,body_t5_m1,7,beam_t5_m1,7,2,,,,,,,1,1,1,1
9,7,0,1,body_t2_m1,7,beam_t2_m1,7,2,,,,,,,1,1,1,1
9,7,0,2,body_t2_m1,7,beam_t2_m1,7,2,,,,,,,1,1,1,1
9,8,0,0,body_t5_m1,8,beam_t5_m1,8,2,missile_t5_m1,1,2,,,,1,1,1,1
9,8,0,1,body_t2_m1,8,beam_t2_m1,8,2,missile_t2_m1,1,1,,,,1,1,1,1
9,8,0,2,body_t1_m1,8,beam_t1_m1,8,1,missile_t1_m1,1,1,,,,1,1,1,1
9,8,0,3,body_t1_m1,8,beam_t1_m1,8,1,missile_t1_m1,1,1,,,,1,1,1,1
9,9,0,0,body_t7_m1,9,beam_t7_m1,9,3,,,,,,,1,1,1,1
9,9,0,1,body_t1_m1,9,beam_t1_m1,9,1,,,,,,,1,1,1,1
9,9,0,2,body_t1_m1,9,beam_t1_m1,9,1,,,,,,,1,1,1,1
9,10,0,0,body_t4_m1,10,beam_t4_m1,10,2,missile_t4_m1,1,2,hanger_t4_m1,1,1,1,1,1,1
9,10,0,1,body_t3_m1,10,beam_t3_m1,10,2,missile_t3_m1,1,1,hanger_t3_m1,1,1,1,1,1,1
9,10,0,2,body_t1_m1,10,beam_t1_m1,10,1,missile_t1_m1,1,1,hanger_t1_m1,1,1,1,1,1,1
9,10,0,3,body_t1_m1,10,beam_t1_m1,10,1,missile_t1_m1,1,1,hanger_t1_m1,1,1,1,1,1,1
10,1,0,0,body_t5_m1,1,beam_t5_m1,1,2,,,,,,,1,1,1,1
10,1,0,1,body_t5_m1,1,beam_t5_m1,1,2,,,,,,,1,1,1,1
10,2,0,0,body_t4_m1,2,beam_t4_m1,2,2,missile_t4_m1,1,2,,,,1,1,1,1
10,2,0,1,body_t2_m1,2,beam_t2_m1,2,2,missile_t2_m1,1,1,,,,1,1,1,1
10,2,0,2,body_t2_m1,2,beam_t2_m1,2,2,missile_t2_m1,1,1,,,,1,1,1,1
10,2,0,3,body_t2_m1,2,beam_t2_m1,2,2,missile_t2_m1,1,1,,,,1,1,1,1
10,3,0,0,body_t4_m1,3,beam_t4_m1,3,2,,,,,,,1,1,1,1
10,3,0,1,body_t2_m1,3,beam_t2_m1,3,2,,,,,,,1,1,1,1
10,3,0,2,body_t2_m1,3,beam_t2_m1,3,2,,,,,,,1,1,1,1
10,3,0,3,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
10,3,0,4,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
10,4,0,0,body_t3_m1,4,beam_t3_m1,4,2,missile_t3_m1,1,1,,,,1,1,1,1
10,4,0,1,body_t3_m1,4,beam_t3_m1,4,2,missile_t3_m1,1,1,,,,1,1,1,1
10,4,0,2,body_t2_m1,4,beam_t2_m1,4,2,missile_t2_m1,1,1,,,,1,1,1,1
10,4,0,3,body_t1_m1,4,beam_t1_m1,4,1,missile_t1_m1,1,1,,,,1,1,1,1
10,4,0,4,body_t1_m1,4,beam_t1_m1,4,1,missile_t1_m1,1,1,,,,1,1,1,1
10,5,0,0,body_t5_m1,5,beam_t5_m1,5,2,,,,,,,1,1,1,1
10,5,0,1,body_t4_m1,5,beam_t4_m1,5,2,,,,,,,1,1,1,1
10,5,0,2,body_t1_m1,5,beam_t1_m1,5,1,,,,,,,1,1,1,1
10,6,0,0,body_t8_m1,6,beam_t8_m1,6,3,missile_t8_m1,1,3,,,,1,1,1,1
10,6,0,1,body_t1_m1,6,beam_t1_m1,6,1,missile_t1_m1,1,1,,,,1,1,1,1
10,6,0,2,body_t1_m1,6,beam_t1_m1,6,1,missile_t1_m1,1,1,,,,1,1,1,1
10,7,0,0,body_t5_m1,7,beam_t5_m1,7,2,,,,,,,1,1,1,1
10,7,0,1,body_t3_m1,7,beam_t3_m1,7,2,,,,,,,1,1,1,1
10,7,0,2,body_t2_m1,7,beam_t2_m1,7,2,,,,,,,1,1,1,1
10,8,0,0,body_t5_m1,8,beam_t5_m1,8,2,missile_t5_m1,1,2,,,,1,1,1,1
10,8,0,1,body_t4_m1,8,beam_t4_m1,8,2,missile_t4_m1,1,2,,,,1,1,1,1
10,8,0,2,body_t1_m1,8,beam_t1_m1,8,1,missile_t1_m1,1,1,,,,1,1,1,1
10,9,0,0,body_t6_m1,9,beam_t6_m1,9,2,,,,,,,1,1,1,1
10,9,0,1,body_t4_m1,9,beam_t4_m1,9,2,,,,,,,1,1,1,1
10,10,0,0,body_t4_m1,10,beam_t4_m1,10,2,missile_t4_m1,1,2,hanger_t4_m1,1,1,1,1,1,1
10,10,0,1,body_t3_m1,10,beam_t3_m1,10,2,missile_t3_m1,1,1,hanger_t3_m1,1,1,1,1,1,1
10,10,0,2,body_t1_m1,10,beam_t1_m1,10,1,missile_t1_m1,1,1,hanger_t1_m1,1,1,1,1,1,1
10,10,0,3,body_t1_m1,10,beam_t1_m1,10,1,missile_t1_m1,1,1,hanger_t1_m1,1,1,1,1,1,1
10,10,0,4,body_t1_m1,10,beam_t1_m1,10,1,missile_t1_m1,1,1,hanger_t1_m1,1,1,1,1,1,1
11,1,0,0,body_t6_m1,1,beam_t6_m1,1,2,,,,,,,1,1,1,1
11,1,0,1,body_t2_m1,1,beam_t2_m1,1,2,,,,,,,1,1,1,1
11,1,1,0,body_t3_m1,1,beam_t3_m1,1,2,,,,,,,1,1,1,1
11,1,1,1,body_t2_m1,1,beam_t2_m1,1,2,,,,,,,1,1,1,1
