card_id,name_key,desc_key,rarity,effect_type,is_persistent,value1,value2,weight,icon_name
card_missile_firerate_2per,RewardCard_MissileFireRate_Name,RewardCard_MissileFireRate_Desc,1,Buff_MissileFireRate,True,0.02,0,15,missile-swarm
card_missile_firerate_3per,RewardCard_MissileFireRate_Name,RewardCard_MissileFireRate_Desc,2,Buff_MissileFireRate,True,0.03,0,10,missile-swarm
card_missile_firerate_4per,RewardCard_MissileFireRate_Name,RewardCard_MissileFireRate_Desc,2,Buff_MissileFireRate,True,0.04,0,5,missile-swarm
card_missile_firerate_5per,RewardCard_MissileFireRate_Name,RewardCard_MissileFireRate_Desc,3,Buff_MissileFireRate,True,0.05,0,2,missile-swarm
card_missile_silence_1per,RewardCard_MissileSilence_Name,RewardCard_MissileSilence_Desc,1,Buff_MissileSilence,True,0.01,0,20,sight-disabled
card_missile_silence_2per,RewardCard_MissileSilence_Name,RewardCard_MissileSilence_Desc,1,Buff_MissileSilence,True,0.02,0,15,sight-disabled
card_missile_silence_3per,RewardCard_MissileSilence_Name,RewardCard_MissileSilence_Desc,2,Buff_MissileSilence,True,0.03,0,10,sight-disabled
card_missile_silence_4per,RewardCard_MissileSilence_Name,RewardCard_MissileSilence_Desc,2,Buff_MissileSilence,True,0.04,0,5,sight-disabled
card_missile_silence_5per,RewardCard_MissileSilence_Name,RewardCard_MissileSilence_Desc,3,Buff_MissileSilence,True,0.05,0,2,sight-disabled
card_hangar_attack_to_ship_1per,RewardCard_HangarAttackToShip_Name,RewardCard_HangarAttackToShip_Desc,1,Buff_HangarAttackToShip,True,0.01,0,20,jet-fighter
card_hangar_attack_to_ship_2per,RewardCard_HangarAttackToShip_Name,RewardCard_HangarAttackToShip_Desc,1,Buff_HangarAttackToShip,True,0.02,0,15,jet-fighter
card_hangar_attack_to_ship_3per,RewardCard_HangarAttackToShip_Name,RewardCard_HangarAttackToShip_Desc,2,Buff_HangarAttackToShip,True,0.03,0,10,jet-fighter
card_hangar_attack_to_ship_4per,RewardCard_HangarAttackToShip_Name,RewardCard_HangarAttackToShip_Desc,2,Buff_HangarAttackToShip,True,0.04,0,5,jet-fighter
card_hangar_attack_to_ship_5per,RewardCard_HangarAttackToShip_Name,RewardCard_HangarAttackToShip_Desc,3,Buff_HangarAttackToShip,True,0.05,0,2,jet-fighter
card_hangar_attack_to_fighter_1per,RewardCard_HangarAttackToFighter_Name,RewardCard_HangarAttackToFighter_Desc,1,Buff_HangarAttackToFighter,True,0.01,0,20,light-fighter
card_hangar_attack_to_fighter_2per,RewardCard_HangarAttackToFighter_Name,RewardCard_HangarAttackToFighter_Desc,1,Buff_HangarAttackToFighter,True,0.02,0,15,light-fighter
card_hangar_attack_to_fighter_3per,RewardCard_HangarAttackToFighter_Name,RewardCard_HangarAttackToFighter_Desc,2,Buff_HangarAttackToFighter,True,0.03,0,10,light-fighter
card_hangar_attack_to_fighter_4per,RewardCard_HangarAttackToFighter_Name,RewardCard_HangarAttackToFighter_Desc,2,Buff_HangarAttackToFighter,True,0.04,0,5,light-fighter
card_hangar_attack_to_fighter_5per,RewardCard_HangarAttackToFighter_Name,RewardCard_HangarAttackToFighter_Desc,3,Buff_HangarAttackToFighter,True,0.05,0,2,light-fighter
card_ship_health_1per,RewardCard_ShipHealth_Name,RewardCard_ShipHealth_Desc,1,Buff_ShipHealth,True,0.01,0,20,heart-wings
card_ship_health_2per,RewardCard_ShipHealth_Name,RewardCard_ShipHealth_Desc,1,Buff_ShipHealth,True,0.02,0,15,heart-wings
card_ship_health_3per,RewardCard_ShipHealth_Name,RewardCard_ShipHealth_Desc,2,Buff_ShipHealth,True,0.03,0,10,heart-wings
card_ship_health_4per,RewardCard_ShipHealth_Name,RewardCard_ShipHealth_Desc,2,Buff_ShipHealth,True,0.04,0,5,heart-wings
card_ship_health_5per,RewardCard_ShipHealth_Name,RewardCard_ShipHealth_Desc,3,Buff_ShipHealth,True,0.05,0,2,heart-wings
card_point_rate_1per,RewardCard_PointRate_Name,RewardCard_PointRate_Desc,1,Buff_ExplorationPointRate,True,0.01,0,20,coins-pile
card_point_rate_2per,RewardCard_PointRate_Name,RewardCard_PointRate_Desc,1,Buff_ExplorationPointRate,True,0.02,0,15,coins-pile
card_point_rate_3per,RewardCard_PointRate_Name,RewardCard_PointRate_Desc,2,Buff_ExplorationPointRate,True,0.03,0,10,coins-pile
card_point_rate_4per,RewardCard_PointRate_Name,RewardCard_PointRate_Desc,2,Buff_ExplorationPointRate,True,0.04,0,5,coins-pile
card_point_rate_5per,RewardCard_PointRate_Name,RewardCard_PointRate_Desc,3,Buff_ExplorationPointRate,True,0.05,0,2,coins-pile
card_health_heal,RewardCard_HealthHeal_Name,RewardCard_HealthHeal_Desc,1,Instant_HealthHeal,False,0.2,0,10,auto-repair
card_shield_heal,RewardCard_ShieldHeal_Name,RewardCard_ShieldHeal_Desc,1,Instant_ShieldHeal,False,1,0,8,bubble-field
card_interceptor_heal,RewardCard_InterceptorHeal_Name,RewardCard_InterceptorHeal_Desc,1,Instant_InterceptorHeal,False,1,0,8,spiky-field
card_point_flat,RewardCard_PointFlat_Name,RewardCard_PointFlat_Desc,1,Instant_ExplorationPointFlat,False,50,0,10,minerals
